link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30]
6262,917,3,1,1,6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6263,917,3,1,1,6214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,917,3,1,1,6211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6265,917,3,1,1,6203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,917,3,1,1,6230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,917,3,1,1,6204,6205,6207,6208,6212,6215,6231,6234,6235,6236,6237,6238,6239,6241,6242,6243,6244,6245,6246,6248,6249,6250,6251,6252,6253,6255,6256,6257,6258,6259,6260
6273,941,921,2,172,12432,12440,12918,12926,13404,13412,13895,13896,14377,14378,,,,,,,,,,,,,,,,,,,,,
6274,941,921,2,1376,11955,11956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,1006,986,2,172,12432,12918,13404,13895,14377,,,,,,,,,,,,,,,,,,,,,,,,,,
6281,1006,986,2,1376,11955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,1070,1069,2,1024,6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6286,1073,1069,2,4096,6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292,1109,1089,2,172,12433,12919,13405,13895,14377,,,,,,,,,,,,,,,,,,,,,,,,,,
6293,1109,1089,2,1376,11955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6304,1238,1237,2,176128,11453,11462,11463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6308,1251,1250,2,4096,6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6312,1261,1260,2,176128,6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6316,1274,1273,2,176128,6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6320,1284,1283,2,176128,6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,1297,1296,2,176128,6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6328,1307,1306,2,176128,6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6332,1320,1319,2,176128,6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6336,1330,1329,2,176128,6226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,1343,1342,2,176128,6226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344,1353,1352,2,176128,6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6348,1366,1365,2,176128,6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,1376,1375,2,176128,6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6356,1389,1388,2,176128,6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6360,1399,1398,2,176128,11456,11458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6364,1412,1411,2,176128,11458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368,1425,1424,2,176128,11459,11460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
